State,District,Soil Type,Crop,Land Area (acres),Temperature (°C),Rainfall (mm),Humidity (%),Wind Speed (km/h),Best Irrigation Time,Water Amount (Liters/hectare),Irrigation Method,Best Next Crop,Best Fertilizer,Alternative Fertilizer,Estimated Yield (kg/hectare)
Madhya Pradesh,Rohtak,Saline,Wheat,5.95,22.0,150.1,70.7,5.4,Morning,8915.4,Drip Irrigation,Cotton,Compost,Neem Cake,1704.4
Haryana,Lucknow,Silt,Maize,9.18,37.4,82.7,73.7,9.4,Evening,9433.8,Drip Irrigation,Rice,DAP,Seaweed Extract,5435.6
Haryana,Pune,Silt,Sugarcane,7.09,26.5,204.6,83.6,3.4,Evening,1292.6,Furrow Irrigation,Pulses,MOP,Neem Cake,1797.0
Karnataka,Ludhiana,Loamy,Tea,6.96,39.4,291.5,83.7,13.4,Night,3180.6,Furrow Irrigation,Rice,Compost,Cow Manure,1142.6
Gujarat,Lucknow,Silt,Sugarcane,4.21,37.9,121.7,47.0,3.9,Night,2436.6,Surface Irrigation,Sugarcane,Vermicompost,Bone Meal,4448.2
Tamil Nadu,Ludhiana,Loamy,Pulses,5.4,38.4,239.0,78.8,8.6,Morning,9956.7,Surface Irrigation,Barley,Vermicompost,Cow Manure,4789.0
Tamil Nadu,Rohtak,Sandy,Soybean,8.8,38.8,52.6,46.4,6.9,Morning,8380.0,Surface Irrigation,Cotton,DAP,Neem Cake,5632.6
Tamil Nadu,Bhopal,Saline,Tea,7.27,23.4,242.1,47.1,11.0,Night,9661.2,Surface Irrigation,Tea,Vermicompost,Cow Manure,6224.4
Gujarat,Lucknow,Sandy,Barley,7.17,29.6,143.5,49.3,9.7,Night,2363.1,Drip Irrigation,Rice,Vermicompost,Green Manure,4457.8
Uttar Pradesh,Lucknow,Saline,Soybean,2.82,17.1,120.0,86.9,2.2,Night,7699.2,Drip Irrigation,Groundnut,Vermicompost,Bone Meal,3410.7
Madhya Pradesh,Ahmedabad,Sandy,Pulses,7.05,22.5,70.1,58.8,9.4,Evening,3903.3,Furrow Irrigation,Tea,DAP,Bone Meal,4270.1
Rajasthan,Pune,Loamy,Maize,9.17,24.5,70.6,61.9,12.4,Evening,7208.3,Surface Irrigation,Tea,Urea,Neem Cake,524.5
Haryana,Ludhiana,Sandy,Groundnut,5.49,27.3,83.2,59.1,10.8,Night,8848.7,Drip Irrigation,Pulses,DAP,Seaweed Extract,7933.7
Punjab,Kolkata,Loamy,Groundnut,9.81,29.8,86.9,82.3,8.2,Evening,5280.4,Sprinkler Irrigation,Maize,MOP,Cow Manure,5941.0
West Bengal,Bhopal,Sandy,Groundnut,3.68,31.7,121.6,74.0,6.5,Night,6604.7,Furrow Irrigation,Wheat,MOP,Green Manure,7546.2
West Bengal,Chennai,Saline,Groundnut,5.15,23.2,216.0,60.8,11.9,Night,5478.8,Sprinkler Irrigation,Maize,MOP,Neem Cake,7314.0
Tamil Nadu,Bhopal,Loamy,Pulses,9.95,17.6,286.5,59.4,7.3,Morning,4434.1,Drip Irrigation,Wheat,DAP,Neem Cake,866.1
Tamil Nadu,Ahmedabad,Clay,Cotton,7.89,32.8,163.7,41.2,8.9,Morning,7321.3,Furrow Irrigation,Wheat,MOP,Green Manure,7535.8
Haryana,Rohtak,Saline,Pulses,7.93,17.8,215.2,66.7,13.7,Evening,3019.9,Sprinkler Irrigation,Groundnut,Urea,Green Manure,6416.8
Tamil Nadu,Chennai,Silt,Rice,8.8,33.4,53.3,57.7,4.7,Night,8095.2,Furrow Irrigation,Groundnut,Biofertilizer,Green Manure,5082.6
Gujarat,Rohtak,Loamy,Maize,8.24,15.7,159.4,84.1,10.2,Night,6592.7,Surface Irrigation,Maize,Urea,Cow Manure,939.8
Madhya Pradesh,Chennai,Saline,Maize,3.75,23.5,57.9,51.7,12.0,Morning,9505.3,Drip Irrigation,Maize,Compost,Cow Manure,1071.9
Madhya Pradesh,Bangalore,Peaty,Pulses,5.05,15.5,89.8,70.5,5.6,Morning,2658.1,Drip Irrigation,Pulses,Compost,Seaweed Extract,2933.1
Tamil Nadu,Ludhiana,Saline,Tea,2.68,32.7,117.8,60.3,5.7,Evening,5952.9,Furrow Irrigation,Groundnut,Urea,Cow Manure,3329.9
Madhya Pradesh,Lucknow,Peaty,Soybean,4.44,25.7,246.6,88.0,13.2,Night,2511.8,Furrow Irrigation,Maize,Urea,Neem Cake,7754.5
Haryana,Lucknow,Silt,Sugarcane,6.35,32.0,51.9,59.7,14.0,Evening,1733.6,Furrow Irrigation,Maize,DAP,Bone Meal,7800.0
Haryana,Ahmedabad,Saline,Wheat,2.07,15.0,193.5,71.4,12.4,Morning,7543.7,Surface Irrigation,Soybean,Urea,Green Manure,3147.3
Maharashtra,Ludhiana,Silt,Pulses,5.62,23.7,195.3,80.7,11.2,Evening,6236.0,Drip Irrigation,Pulses,Urea,Seaweed Extract,724.1
Haryana,Pune,Sandy,Sugarcane,3.42,37.3,150.3,66.3,4.7,Evening,7067.2,Surface Irrigation,Rice,Compost,Cow Manure,3632.3
Gujarat,Jaipur,Sandy,Barley,8.9,29.2,213.0,81.9,10.9,Night,8020.7,Surface Irrigation,Sugarcane,Compost,Cow Manure,5900.4
West Bengal,Bhopal,Silt,Tea,2.27,28.5,263.1,43.9,12.8,Night,7643.3,Drip Irrigation,Pulses,Biofertilizer,Neem Cake,3834.0
West Bengal,Pune,Saline,Maize,7.05,31.8,148.5,87.1,5.7,Night,2305.5,Drip Irrigation,Groundnut,Vermicompost,Neem Cake,7335.7
Maharashtra,Bangalore,Loamy,Groundnut,3.36,16.4,281.4,73.5,12.2,Night,8144.0,Furrow Irrigation,Tea,Biofertilizer,Cow Manure,814.3
Madhya Pradesh,Lucknow,Sandy,Rice,5.53,18.5,55.2,49.8,7.5,Morning,3496.7,Furrow Irrigation,Sugarcane,MOP,Cow Manure,6142.5
Maharashtra,Kolkata,Loamy,Sugarcane,9.27,29.6,101.1,58.8,14.4,Evening,8035.4,Furrow Irrigation,Tea,Biofertilizer,Neem Cake,1435.7
Uttar Pradesh,Rohtak,Saline,Tea,2.4,40.0,121.9,48.5,3.1,Night,5519.0,Drip Irrigation,Tea,Compost,Neem Cake,5650.0
Karnataka,Bangalore,Silt,Cotton,2.28,23.9,144.4,40.1,9.4,Night,5106.0,Surface Irrigation,Cotton,Biofertilizer,Green Manure,7921.0
Haryana,Chennai,Clay,Barley,1.67,16.1,162.4,78.7,9.1,Morning,2720.1,Sprinkler Irrigation,Groundnut,Vermicompost,Green Manure,5757.1
Maharashtra,Kolkata,Loamy,Soybean,3.51,37.3,292.2,47.5,3.8,Evening,7978.5,Surface Irrigation,Wheat,Urea,Neem Cake,3538.9
Punjab,Kolkata,Silt,Groundnut,8.33,18.1,263.5,62.2,13.3,Evening,4656.1,Furrow Irrigation,Sugarcane,Urea,Green Manure,2551.9
Haryana,Bhopal,Loamy,Barley,6.53,16.7,162.0,49.0,9.7,Morning,5213.5,Furrow Irrigation,Sugarcane,Compost,Cow Manure,7763.6
Punjab,Ludhiana,Peaty,Pulses,9.3,18.3,257.6,65.8,8.4,Evening,5298.6,Sprinkler Irrigation,Soybean,MOP,Seaweed Extract,2215.6
Punjab,Pune,Saline,Wheat,1.81,20.4,249.2,40.8,14.3,Night,3720.2,Drip Irrigation,Rice,MOP,Cow Manure,1716.6
Maharashtra,Chennai,Sandy,Cotton,3.56,25.9,157.0,51.3,3.8,Night,3818.2,Sprinkler Irrigation,Tea,Urea,Neem Cake,2027.4
West Bengal,Chennai,Clay,Sugarcane,5.74,27.0,66.4,40.4,8.4,Evening,9306.9,Surface Irrigation,Sugarcane,MOP,Seaweed Extract,2451.5
Punjab,Bhopal,Peaty,Pulses,5.24,27.1,280.8,71.8,10.0,Morning,9499.9,Surface Irrigation,Soybean,Urea,Green Manure,5964.1
West Bengal,Bangalore,Peaty,Maize,1.44,23.8,216.5,62.0,11.6,Morning,3571.8,Surface Irrigation,Pulses,Compost,Neem Cake,1427.1
Haryana,Lucknow,Peaty,Groundnut,5.18,15.1,55.3,83.6,11.8,Night,5837.1,Drip Irrigation,Barley,DAP,Seaweed Extract,7494.7
Punjab,Kolkata,Peaty,Soybean,9.22,31.0,142.3,64.5,8.3,Evening,9269.0,Sprinkler Irrigation,Cotton,Compost,Neem Cake,3093.7
Punjab,Chennai,Peaty,Tea,4.94,26.2,144.7,50.7,10.5,Morning,2467.8,Furrow Irrigation,Rice,MOP,Cow Manure,831.2
Gujarat,Kolkata,Clay,Sugarcane,5.47,29.4,139.2,58.2,13.7,Morning,5269.2,Surface Irrigation,Soybean,Vermicompost,Neem Cake,5577.6
Rajasthan,Ahmedabad,Sandy,Barley,3.2,39.7,220.7,57.6,10.3,Evening,1679.0,Surface Irrigation,Groundnut,Biofertilizer,Seaweed Extract,6450.4
Haryana,Bangalore,Saline,Pulses,9.61,16.2,233.2,87.1,5.5,Night,8757.6,Furrow Irrigation,Barley,Urea,Bone Meal,5171.6
Madhya Pradesh,Chennai,Sandy,Wheat,1.71,20.4,274.4,64.2,3.5,Night,1498.8,Surface Irrigation,Barley,Compost,Cow Manure,5736.8
Maharashtra,Kolkata,Silt,Maize,4.29,22.8,113.0,79.0,9.7,Morning,2859.3,Drip Irrigation,Groundnut,MOP,Seaweed Extract,768.6
West Bengal,Ludhiana,Silt,Soybean,7.81,23.0,207.4,45.0,8.7,Morning,4496.2,Furrow Irrigation,Soybean,Urea,Cow Manure,2028.3
Punjab,Rohtak,Saline,Pulses,8.5,28.7,170.6,44.2,4.9,Night,4576.2,Surface Irrigation,Rice,MOP,Cow Manure,2846.5
Maharashtra,Bhopal,Clay,Soybean,3.33,22.9,232.4,75.8,5.2,Night,6295.2,Sprinkler Irrigation,Groundnut,DAP,Neem Cake,3620.0
Rajasthan,Lucknow,Silt,Cotton,8.19,23.7,293.6,64.6,4.5,Evening,4262.4,Surface Irrigation,Maize,DAP,Green Manure,7744.0
Rajasthan,Lucknow,Silt,Groundnut,2.8,33.9,114.4,66.4,4.2,Night,9432.8,Sprinkler Irrigation,Tea,Urea,Green Manure,5805.4
Punjab,Lucknow,Silt,Rice,7.05,30.7,218.4,49.6,7.5,Evening,8332.9,Sprinkler Irrigation,Barley,Biofertilizer,Green Manure,7680.9
Gujarat,Lucknow,Clay,Cotton,6.62,33.6,88.6,71.4,13.5,Evening,8006.7,Drip Irrigation,Pulses,MOP,Neem Cake,1338.8
Punjab,Kolkata,Silt,Maize,4.31,15.4,254.9,56.3,4.0,Night,7819.6,Surface Irrigation,Maize,Urea,Green Manure,4465.8
Maharashtra,Jaipur,Loamy,Groundnut,7.85,19.1,99.7,85.6,12.6,Morning,8732.9,Furrow Irrigation,Groundnut,Biofertilizer,Cow Manure,6331.0
Karnataka,Ahmedabad,Saline,Wheat,3.42,19.0,292.1,64.9,5.2,Night,6932.1,Furrow Irrigation,Sugarcane,MOP,Bone Meal,4743.4
Gujarat,Pune,Silt,Barley,3.9,37.1,140.6,62.8,9.6,Night,4461.5,Sprinkler Irrigation,Rice,Vermicompost,Seaweed Extract,6608.8
Karnataka,Ludhiana,Saline,Sugarcane,1.75,39.8,292.7,83.7,3.0,Evening,4840.8,Furrow Irrigation,Tea,MOP,Bone Meal,6043.8
Maharashtra,Rohtak,Sandy,Groundnut,3.19,29.4,99.1,73.2,4.5,Evening,8205.9,Sprinkler Irrigation,Maize,Urea,Seaweed Extract,4183.6
Gujarat,Pune,Loamy,Groundnut,7.4,22.4,107.3,60.6,3.9,Morning,8545.3,Sprinkler Irrigation,Sugarcane,Biofertilizer,Bone Meal,3978.7
Haryana,Ahmedabad,Loamy,Barley,8.12,33.6,164.4,77.8,11.6,Night,8016.9,Sprinkler Irrigation,Barley,Biofertilizer,Seaweed Extract,4176.8
Haryana,Rohtak,Sandy,Rice,5.18,36.1,122.7,77.4,13.1,Morning,5727.6,Sprinkler Irrigation,Sugarcane,Compost,Cow Manure,4508.4
Rajasthan,Pune,Saline,Wheat,8.83,26.2,62.8,61.4,14.1,Evening,7356.7,Surface Irrigation,Rice,Compost,Bone Meal,7861.3
West Bengal,Jaipur,Sandy,Tea,1.21,25.8,239.2,66.3,4.7,Evening,3540.1,Furrow Irrigation,Rice,DAP,Neem Cake,5900.7
Tamil Nadu,Lucknow,Peaty,Sugarcane,9.87,17.7,192.2,65.4,11.1,Evening,1444.9,Surface Irrigation,Soybean,Urea,Green Manure,7513.5
Karnataka,Ludhiana,Saline,Wheat,0.59,37.7,283.4,69.0,7.0,Evening,1064.7,Furrow Irrigation,Barley,Biofertilizer,Bone Meal,2069.0
Gujarat,Chennai,Sandy,Groundnut,7.76,33.8,76.6,42.4,4.5,Night,2002.2,Sprinkler Irrigation,Groundnut,Compost,Neem Cake,5894.1
Gujarat,Bhopal,Clay,Barley,1.31,36.6,228.0,65.8,5.7,Night,8246.7,Furrow Irrigation,Rice,Compost,Neem Cake,5818.7
Karnataka,Ludhiana,Silt,Tea,5.45,33.3,171.8,71.9,14.2,Evening,4920.8,Furrow Irrigation,Sugarcane,Vermicompost,Cow Manure,3163.8
Haryana,Rohtak,Clay,Sugarcane,6.8,26.6,127.3,53.1,8.6,Evening,8309.8,Surface Irrigation,Tea,Vermicompost,Seaweed Extract,4642.1
Gujarat,Rohtak,Sandy,Barley,7.59,35.7,111.0,50.6,14.9,Night,7187.4,Surface Irrigation,Cotton,Compost,Neem Cake,7883.3
Tamil Nadu,Jaipur,Silt,Barley,0.91,23.0,143.3,66.4,13.5,Morning,9581.0,Drip Irrigation,Cotton,MOP,Seaweed Extract,1767.7
Tamil Nadu,Chennai,Silt,Rice,8.02,21.3,222.8,47.0,3.6,Night,3541.1,Furrow Irrigation,Groundnut,MOP,Cow Manure,6862.3
Punjab,Ahmedabad,Saline,Cotton,7.24,23.2,125.8,80.2,13.8,Night,9315.9,Drip Irrigation,Wheat,Biofertilizer,Neem Cake,1073.3
Gujarat,Pune,Clay,Cotton,9.88,26.1,129.1,85.6,8.9,Evening,8271.9,Drip Irrigation,Rice,Biofertilizer,Cow Manure,2904.2
Punjab,Lucknow,Sandy,Sugarcane,1.45,30.9,243.7,74.8,5.4,Evening,2392.0,Sprinkler Irrigation,Groundnut,Vermicompost,Cow Manure,7030.0
Karnataka,Rohtak,Peaty,Pulses,1.34,15.1,243.7,46.3,12.6,Evening,9357.2,Surface Irrigation,Groundnut,Urea,Seaweed Extract,3421.8
Punjab,Bhopal,Silt,Rice,5.21,36.9,185.8,61.2,13.4,Night,4749.2,Surface Irrigation,Rice,Compost,Seaweed Extract,4774.9
Rajasthan,Kolkata,Loamy,Sugarcane,8.81,19.3,194.9,82.7,6.7,Evening,1346.6,Drip Irrigation,Barley,Urea,Cow Manure,620.3
Haryana,Rohtak,Peaty,Groundnut,2.29,23.0,126.8,61.5,10.0,Evening,4364.5,Furrow Irrigation,Wheat,Biofertilizer,Cow Manure,4778.8
Rajasthan,Bangalore,Clay,Rice,8.84,32.9,183.9,60.7,5.1,Night,3043.4,Surface Irrigation,Groundnut,MOP,Green Manure,7465.3
Uttar Pradesh,Ludhiana,Silt,Wheat,9.35,30.2,269.9,66.1,9.9,Night,7204.3,Drip Irrigation,Cotton,DAP,Cow Manure,7215.1
Punjab,Bangalore,Sandy,Barley,6.27,36.4,180.7,43.0,3.2,Morning,9003.1,Sprinkler Irrigation,Pulses,Compost,Bone Meal,4461.2
Haryana,Ludhiana,Saline,Tea,5.15,24.6,166.0,40.9,5.2,Evening,7880.0,Surface Irrigation,Cotton,Urea,Green Manure,4799.2
Maharashtra,Kolkata,Silt,Barley,2.23,23.6,103.9,80.8,3.9,Night,6325.8,Surface Irrigation,Sugarcane,Urea,Bone Meal,3450.6
West Bengal,Lucknow,Saline,Tea,6.02,18.8,103.8,58.1,13.5,Evening,4041.0,Drip Irrigation,Rice,Vermicompost,Cow Manure,859.2
Karnataka,Jaipur,Saline,Groundnut,9.86,28.8,118.8,76.4,9.8,Night,4149.3,Furrow Irrigation,Sugarcane,Biofertilizer,Cow Manure,4057.2
Punjab,Pune,Sandy,Tea,6.75,21.2,89.1,51.2,11.9,Evening,1000.3,Drip Irrigation,Rice,Biofertilizer,Seaweed Extract,7622.6
Karnataka,Bangalore,Peaty,Tea,6.55,25.3,134.8,87.0,2.7,Morning,2255.2,Drip Irrigation,Soybean,Compost,Cow Manure,6321.7
Haryana,Ahmedabad,Silt,Groundnut,8.1,23.8,142.6,41.7,8.6,Evening,4338.1,Drip Irrigation,Groundnut,DAP,Neem Cake,6270.0
Rajasthan,Bhopal,Loamy,Wheat,8.83,23.1,185.9,73.7,5.0,Evening,5660.6,Drip Irrigation,Rice,DAP,Cow Manure,4031.0
Uttar Pradesh,Ludhiana,Saline,Barley,1.65,34.8,289.8,53.9,4.2,Night,3392.6,Surface Irrigation,Rice,Vermicompost,Neem Cake,684.6
Punjab,Rohtak,Silt,Soybean,2.11,23.8,294.7,61.6,8.9,Morning,7055.2,Surface Irrigation,Rice,Biofertilizer,Neem Cake,4297.7
Madhya Pradesh,Lucknow,Silt,Tea,7.61,38.0,57.8,41.0,3.9,Night,8812.0,Surface Irrigation,Groundnut,Urea,Green Manure,693.4
Madhya Pradesh,Bhopal,Silt,Groundnut,8.87,36.9,188.7,64.1,9.3,Evening,1310.6,Drip Irrigation,Groundnut,Urea,Bone Meal,3538.4
Maharashtra,Bangalore,Silt,Soybean,2.86,25.2,155.0,58.1,4.8,Night,9223.0,Sprinkler Irrigation,Groundnut,MOP,Neem Cake,7086.1
Rajasthan,Pune,Sandy,Soybean,2.05,23.0,100.3,62.6,4.6,Evening,5201.2,Furrow Irrigation,Cotton,MOP,Green Manure,3597.0
Punjab,Kolkata,Silt,Soybean,1.29,27.2,119.9,87.6,8.5,Morning,3465.7,Drip Irrigation,Pulses,MOP,Green Manure,1030.1
Uttar Pradesh,Ludhiana,Clay,Maize,0.81,30.4,106.7,67.1,8.0,Morning,3917.5,Surface Irrigation,Cotton,Urea,Cow Manure,5972.5
Rajasthan,Chennai,Sandy,Maize,8.5,39.4,238.3,80.3,8.5,Evening,9240.7,Sprinkler Irrigation,Sugarcane,Urea,Neem Cake,504.2
Uttar Pradesh,Ahmedabad,Clay,Sugarcane,7.89,32.1,100.8,86.6,5.2,Morning,7668.7,Surface Irrigation,Barley,MOP,Green Manure,4274.8
Karnataka,Bhopal,Clay,Rice,1.9,17.4,255.1,56.1,13.7,Evening,8432.7,Sprinkler Irrigation,Soybean,Biofertilizer,Green Manure,5798.5
