State,District,Soil Type,Crop,Land Area (acres),Temperature (°C),Rainfall (mm),Humidity (%),Wind Speed (km/h),Best Irrigation Time,Water Amount (Liters/hectare),Irrigation Method,Best Next Crop,Best Fertilizer,Alternative Fertilizer,Estimated Yield (kg/hectare),Ymax (kg/hectare),Ky,ETm (mm),ETa (mm)
Madhya Pradesh,Central,Saline,Wheat,5.95,22.0,150.1,70.7,5.4,5:00 AM - 8:00 AM,8915.4,Drip Irrigation,Cotton,Compost,Neem Cake,1704.4,8000.0,1.15,450.0,891.54
Haryana,North,Silt,Maize,9.18,37.4,82.7,73.7,9.4,4:00 PM - 7:00 PM,9433.8,Drip Irrigation,Rice,DAP,Seaweed Extract,5435.6,12000.0,1.1,500.0,943.3799999999999
Haryana,North,Silt,Sugarcane,7.09,26.5,204.6,83.6,3.4,4:00 PM - 7:00 PM,1292.6,Furrow Irrigation,Pulses,MOP,Neem Cake,1797.0,120000.0,1.3,1500.0,129.26
Karnataka,South,Loamy,Tea,6.96,39.4,291.5,83.7,13.4,7:00 PM - 10:00 PM,3180.6,Furrow Irrigation,Rice,Compost,Cow Manure,1142.6,4000.0,1.05,700.0,318.06
Gujarat,West,Silt,Sugarcane,4.21,37.9,121.7,47.0,3.9,7:00 PM - 10:00 PM,2436.6,Surface Irrigation,Sugarcane,Vermicompost,Bone Meal,4448.2,120000.0,1.3,1500.0,243.66
Tamil Nadu,South,Loamy,Pulses,5.4,38.4,239.0,78.8,8.6,5:00 AM - 8:00 AM,9956.7,Surface Irrigation,Barley,Vermicompost,Cow Manure,4789.0,3000.0,0.75,400.0,995.6700000000001
Tamil Nadu,South,Sandy,Soybean,8.8,38.8,52.6,46.4,6.9,5:00 AM - 8:00 AM,8380.0,Surface Irrigation,Cotton,DAP,Neem Cake,5632.6,,,,838.0
Tamil Nadu,South,Saline,Tea,7.27,23.4,242.1,47.1,11.0,7:00 PM - 10:00 PM,9661.2,Surface Irrigation,Tea,Vermicompost,Cow Manure,6224.4,4000.0,1.05,700.0,966.1200000000001
Gujarat,West,Sandy,Barley,7.17,29.6,143.5,49.3,9.7,7:00 PM - 10:00 PM,2363.1,Drip Irrigation,Rice,Vermicompost,Green Manure,4457.8,,,,236.31
Uttar Pradesh,North,Saline,Soybean,2.82,17.1,120.0,86.9,2.2,7:00 PM - 10:00 PM,7699.2,Drip Irrigation,Groundnut,Vermicompost,Bone Meal,3410.7,,,,769.92
