State,District,Soil Type,Crop Type,Best Time of Harvest,Crop_Yield_ton,Temperature_C,Rainfall_mm,Suitable Fertilizer,Suitable Pesticide,Irrigation Method,Next Crop
Bihar,Muzaffarpur,Red,Coffee,March-April,5.9098,35.4,876.7,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Cotton
Tamil Nadu,Trichy,Red,Cotton,August-September,5.9098,30.5,654.8,Potash,Imidacloprid,Furrow Irrigation,Sugarcane
West Bengal,Howrah,Black,Bajra,March-April,5.9098,25.5,1484.6,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Rajasthan,Jaipur,Loamy,Wheat,December-January,5.231,27.7,150.9,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Rajasthan,Jodhpur,Alluvial,Wheat,March-April,5.231,11.3,448.0,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Maharashtra,Pune,Alluvial,Wheat,August-September,5.231,38.1,565.7,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Uttar Pradesh,Varanasi,Sandy,Pulses,October-November,5.9098,26.6,881.8,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Gujarat,Ahmedabad,Red,Jowar,December-January,5.9098,24.1,597.5,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Punjab,Patiala,Alluvial,Cotton,August-September,5.9098,16.3,652.9,Potash,Imidacloprid,Furrow Irrigation,Maize
Punjab,Jalandhar,Laterite,Cotton,December-January,5.9098,18.6,503.7,Potash,Imidacloprid,Furrow Irrigation,Mixed Vegetables
Karnataka,Bangalore,Black,Coffee,March-April,5.9098,32.3,1156.3,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Wheat
Punjab,Patiala,Laterite,Rice,December-January,6.6054,25.5,391.5,DAP,Carbendazim,Terrace Farming,Mixed Vegetables
Maharashtra,Pune,Loamy,Tea,March-April,5.9098,21.1,570.0,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Uttar Pradesh,Lucknow,Black,Sugarcane,October-November,5.9098,40.7,474.0,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Wheat
Punjab,Patiala,Loamy,Tea,August-September,5.9098,37.7,518.9,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Karnataka,Bangalore,Black,Jowar,December-January,5.9098,34.6,1324.9,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Madhya Pradesh,Bhopal,Sandy,Rice,October-November,6.6054,20.9,584.3,DAP,Carbendazim,Terrace Farming,Bajra
Punjab,Ludhiana,Black,Bajra,September-October,5.9098,33.9,511.3,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Uttar Pradesh,Varanasi,Loamy,Coffee,September-October,5.9098,21.7,743.0,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Pulses
Karnataka,Bangalore,Laterite,Tea,October-November,5.9098,28.2,797.2,Organic Compost,Thiamethoxam,Drip Irrigation,Mixed Vegetables
Karnataka,Belgaum,Red,Coffee,March-April,5.9098,30.8,1204.7,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Cotton
Karnataka,Mysore,Alluvial,Cotton,August-September,5.9098,27.1,1562.6,Potash,Imidacloprid,Furrow Irrigation,Maize
Rajasthan,Kota,Loamy,Rice,August-September,6.6054,12.6,467.9,DAP,Carbendazim,Terrace Farming,Barley
Tamil Nadu,Madurai,Sandy,Jowar,October-November,5.9098,27.3,943.5,Zinc Sulfate,Dimethoate,Traditional Method,Bajra
Karnataka,Hubli,Laterite,Bajra,March-April,5.9098,24.6,1158.7,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Mixed Vegetables
West Bengal,Kolkata,Sandy,Jowar,September-October,5.9098,19.2,1829.8,Zinc Sulfate,Dimethoate,Traditional Method,Bajra
West Bengal,Darjeeling,Alluvial,Tea,March-April,5.9098,33.4,1494.3,Organic Compost,Thiamethoxam,Drip Irrigation,Maize
Punjab,Ludhiana,Black,Sugarcane,August-September,5.9098,26.9,598.7,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Wheat
Tamil Nadu,Coimbatore,Sandy,Tea,September-October,5.9098,21.0,1116.4,Organic Compost,Thiamethoxam,Drip Irrigation,Bajra
Punjab,Amritsar,Black,Pulses,October-November,5.9098,13.2,629.6,Bio-fertilizer,Mancozeb,Traditional Method,Wheat
Punjab,Amritsar,Red,Maize,December-January,5.9098,26.4,664.8,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Uttar Pradesh,Kanpur,Alluvial,Pulses,September-October,5.9098,21.0,778.9,Bio-fertilizer,Mancozeb,Traditional Method,Maize
Gujarat,Ahmedabad,Red,Coffee,March-April,5.9098,25.3,478.0,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Cotton
Maharashtra,Pune,Black,Bajra,September-October,5.9098,29.8,698.6,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Karnataka,Mysore,Laterite,Cotton,December-January,5.9098,34.4,923.9,Potash,Imidacloprid,Furrow Irrigation,Mixed Vegetables
Tamil Nadu,Trichy,Loamy,Coffee,March-April,5.9098,37.0,805.0,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Pulses
Maharashtra,Nagpur,Loamy,Wheat,October-November,5.231,39.4,908.9,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Rajasthan,Udaipur,Sandy,Pulses,March-April,5.9098,44.1,276.7,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Maharashtra,Pune,Loamy,Maize,September-October,5.9098,24.3,828.7,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
West Bengal,Kolkata,Sandy,Bajra,March-April,5.9098,31.3,1920.2,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Bajra
Punjab,Patiala,Red,Pulses,December-January,5.9098,38.6,421.1,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Gujarat,Surat,Laterite,Cotton,September-October,5.9098,27.7,497.3,Potash,Imidacloprid,Furrow Irrigation,Mixed Vegetables
Uttar Pradesh,Lucknow,Loamy,Cotton,March-April,5.9098,23.3,800.0,Potash,Imidacloprid,Furrow Irrigation,Pulses
Rajasthan,Jodhpur,Loamy,Coffee,March-April,5.9098,26.5,197.8,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Pulses
Punjab,Patiala,Black,Bajra,September-October,5.9098,21.6,539.8,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Maharashtra,Nagpur,Alluvial,Bajra,September-October,5.9098,35.4,1083.2,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Gujarat,Ahmedabad,Black,Rice,December-January,6.6054,34.5,768.6,DAP,Carbendazim,Terrace Farming,Wheat
Uttar Pradesh,Kanpur,Loamy,Rice,December-January,6.6054,33.7,565.6,DAP,Carbendazim,Terrace Farming,Barley
Madhya Pradesh,Bhopal,Laterite,Wheat,August-September,5.231,37.6,447.0,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
West Bengal,Howrah,Sandy,Pulses,September-October,5.9098,24.0,1554.6,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Madhya Pradesh,Gwalior,Sandy,Jowar,March-April,5.9098,37.0,576.6,Zinc Sulfate,Dimethoate,Traditional Method,Bajra
Maharashtra,Mumbai,Loamy,Wheat,September-October,5.231,36.4,671.4,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Madhya Pradesh,Jabalpur,Alluvial,Bajra,December-January,5.9098,12.4,319.6,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Madhya Pradesh,Jabalpur,Black,Jowar,December-January,5.9098,13.1,479.2,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Uttar Pradesh,Agra,Red,Tea,March-April,5.9098,15.8,926.4,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
West Bengal,Darjeeling,Red,Cotton,August-September,5.9098,19.9,1755.0,Potash,Imidacloprid,Furrow Irrigation,Sugarcane
Madhya Pradesh,Indore,Loamy,Bajra,September-October,5.9098,23.2,685.4,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Gujarat,Rajkot,Sandy,Wheat,August-September,5.231,12.2,759.7,Urea,Chlorpyrifos,Sprinkler Irrigation,Bajra
Punjab,Patiala,Alluvial,Pulses,September-October,5.9098,16.7,303.2,Bio-fertilizer,Mancozeb,Traditional Method,Maize
Bihar,Bhagalpur,Laterite,Tea,October-November,5.9098,24.5,929.0,Organic Compost,Thiamethoxam,Drip Irrigation,Mixed Vegetables
Karnataka,Belgaum,Red,Rice,October-November,6.6054,21.2,1183.2,DAP,Carbendazim,Terrace Farming,Pulses
Punjab,Patiala,Sandy,Maize,March-April,5.9098,11.5,328.0,NPK,Cypermethrin,Sprinkler Irrigation,Bajra
Tamil Nadu,Madurai,Red,Coffee,October-November,5.9098,23.5,938.9,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Cotton
Bihar,Gaya,Black,Pulses,December-January,5.9098,31.4,824.2,Bio-fertilizer,Mancozeb,Traditional Method,Wheat
